Region,TimeDiff,R1-OCC,R1Light,R1-Temp,"R1_Corr(O,Temp)",R2-OCC,R2Light,R2-Temp,"R2_Corr(O,Temp)",R3-OCC,R3Light,R3-Temp,"R3_Corr(O,Temp)",R4-OCC,R4Light,R4-Temp,"R4_Corr(O,Temp)",R5-OCC,R5Light,R5-Temp,"R5_Corr(O,T)"
4,0,0,0,21.69,0,0,0,21.44,0,1,0,20.44,0.5,1,1,22.44,1,1,0,23.19,1
4,13,1,0,21.69,0.5,0,0,21.44,0,1,0,20.44,0.5,0,1,22.44,1,0,0,23.19,1
2,5252,2,0,21.69,0.5,-1,0,21.37,0,1,0,20.44,0.5,0,1,22.5,1,0,1,23.12,1
3,6263,2,0,21.44,0.5,-2,0,21.56,0,2,0,20.5,0.5,0,1,22.5,1,0,0,22.94,1
3,57,2,0,21.44,0.5,-1,0,21.5,0,1,0,20.56,0.5,0,1,22.44,1,0,1,23,1
3,6,2,0,21.44,0.5,-1,0,21.5,0,1,0,20.62,0.5,0,1,22.44,1,0,0,23,1
2,1077,3,0,21.44,0.5,-2,0,21.5,0,1,1,20.62,0.5,0,1,22.44,1,0,0,23,1
4,1191,2,0,21.31,0.5,-2,0,21.5,0,1,0,20.62,0.5,1,1,22.5,1,1,0,23,1
5,6349,2,0,21.31,0.5,-2,0,21.5,0,1,0,20.62,0.5,0,1,22.5,1,0,0,23,1
5,17,2,0,21.25,0.5,-2,0,21.5,0,1,0,20.62,0.5,1,0,22.37,1,1,0,22.94,1
4,22,3,0,21.25,0.5,-2,0,21.5,0,1,0,20.62,0.5,0,1,22.37,1,0,0,22.94,1
1,6386,2,0,21.31,0.5,-2,0,21.5,0,1,0,20.69,0.5,0,1,22.37,1,0,0,22.94,1
2,64,1,0,21.25,0.5,-1,0,21.5,0,1,0,20.69,0.5,0,1,22.37,1,0,0,22.87,1
3,68,1,0,21.25,0.5,-2,0,21.5,0,2,0,20.69,0.5,0,1,22.37,1,0,1,22.87,1
3,644,1,0,21.25,0.5,-3,0,21.5,0,3,0,20.44,0.5,0,1,22.37,1,0,0,22.87,1
2,649,2,0,21.25,0.5,-4,0,21.5,0,3,0,20.44,0.5,0,1,22.37,1,0,0,22.87,1
4,673,1,0,21.25,0.5,-4,1,21.5,0,3,0,20.44,0.5,1,1,22.37,1,1,0,22.87,1
4,4,1,0,21.25,0.5,-4,0,21.5,0,3,0,20.5,0.5,1,1,22.37,1,1,0,22.87,1
5,707,1,0,21.25,0.5,-4,0,21.5,0,3,0,20.62,0.5,0,1,22.37,1,0,0,22.87,1
5,0,1,0,21.25,0.5,-4,0,21.5,0,3,1,20.62,0.5,0,1,22.37,1,0,0,22.87,1
5,0,1,0,21.25,0.5,-4,0,21.5,0,3,0,20.62,0.5,0,1,22.37,1,0,0,22.87,1
5,8,1,0,21.31,0.5,-4,0,21.56,0,3,0,20.62,0.5,0,1,22.37,1,0,0,22.81,1
5,23,1,0,21.31,0.5,-4,0,21.56,0,3,0,20.62,0.5,-1,1,22.31,1,-1,0,22.81,1
5,3,1,0,21.31,0.5,-4,0,21.56,0,3,0,20.62,0.5,-1,1,22.31,1,-1,0,22.81,1
5,1,1,0,21.31,0.5,-4,1,21.56,0,3,0,20.62,0.5,-1,1,22.31,1,-1,0,22.81,1
5,0,1,0,21.31,0.5,-4,0,21.56,0,3,0,20.62,0.5,-1,1,22.31,1,-1,0,22.81,1
4,65,2,0,21.31,0.5,-4,0,21.56,0,3,0,20.62,0.5,-2,1,22.31,1,-2,0,22.81,1
2,74,1,0,21.31,0.5,-3,0,21.56,0,3,0,20.62,0.5,-2,1,22.31,1,-2,0,22.81,1
3,80,1,0,21.31,0.5,-4,0,21.56,0,4,0,20.62,0.5,-2,1,22.31,1,-2,0,22.81,1
2,252,2,0,21.31,0.5,-5,0,21.5,0,4,0,20.44,0.5,-2,1,22.37,1,-2,0,22.87,1
3,2997,2,0,21,0.5,-4,0,21.31,0,3,0,20.31,0.5,-2,0,22,1,-2,0,22.56,1
3,362,2,0,20.87,0.5,-5,0,21.44,0,4,0,20.37,0.5,-2,0,22.12,1,-2,0,22.56,1
5,11551,2,0,20.06,0.5,-5,0,20.56,0,4,0,19.44,0.5,-1,0,21.12,0,-1,0,21.69,0
4,11551,3,0,20.06,0.5,-5,0,20.56,0,4,0,19.44,0.5,-2,0,21.19,0,-2,0,21.69,0
2,11312,4,0,20,0.5,-6,0,20.56,0,4,1,19.44,0.5,-2,0,21.19,0,-2,1,21.69,0
2,70,5,0,20.06,0.5,-7,0,20.5,0,4,1,19.5,0.5,-2,0,21.19,0,-2,0,21.69,0
4,90,4,0,20.06,0.5,-7,0,20.5,0,4,0,19.5,0.5,-1,0,21.19,0,-1,0,21.69,0
5,102,4,0,20.06,0.5,-7,0,20.5,0,4,0,19.5,0.5,-2,0,21.19,0,-2,0,21.69,0
6,26415,4,0,20.06,0.5,-7,0,20.44,0,4,0,19.44,0.5,-2,0,21.5,0,-2,0,21.69,0
6,79,4,0,19.87,0.5,-7,0,20.37,0,4,0,19.44,0.5,-2,0,21.37,0,-2,0,21.75,0
6,1,4,0,19.87,0.5,-7,0,20.37,0,4,0,19.44,0.5,-2,0,21.37,0,-2,0,21.75,0
6,309,4,0,19.62,0.5,-7,0,20.31,0,4,0,19.44,0.5,-2,1,21.37,0,-2,0,21.69,0
6,6,4,0,19.69,0.5,-7,0,20.31,0,4,0,19.44,0.5,-2,0,21.37,0,-2,0,21.69,0
5,8164,4,0,19.75,0.5,-7,0,20.31,0,4,0,19.44,0.5,-1,0,21.25,0,-1,0,21.62,0
4,8173,5,0,19.75,0.5,-7,0,20.31,0,4,0,19.44,0.5,-2,1,21.25,0,-2,0,21.62,0
4,4,5,0,19.75,0.5,-7,0,20.31,0,4,1,19.44,0.5,-2,0,21.25,0,-2,0,21.62,0
2,8182,4,0,19.75,0.5,-6,0,20.31,0,4,0,19.44,0.5,-2,0,21.25,0,-2,0,21.62,0
2,143,5,0,19.75,0.5,-7,0,20.31,0,4,0,19.06,0.5,-2,0,21.12,0,-2,0,21.62,0
4,147,4,0,19.75,0.5,-7,0,20.31,0,4,0,19.06,0.5,-1,0,21.12,0,-1,0,21.62,0
5,155,4,0,19.75,0.5,-7,0,20.31,0,4,0,19.06,0.5,-2,0,21.12,0,-2,0,21.62,0
5,422,4,0,19.69,0.5,-7,0,20.31,0,4,0,19.06,0.5,-1,0,20.94,0,-1,0,21.5,0
5,15,4,0,19.69,0.5,-7,0,20.31,0,4,0,19.06,0.5,-2,1,21,0,-2,0,21.5,0
5,38,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.06,0.5,-1,1,20.94,0,-1,0,21.44,0
5,71,4,0,19.75,0.5,-7,1,20.25,0,4,1,19.06,0.5,-2,0,20.94,0,-2,0,21.37,0
5,23,4,0,19.69,0.5,-7,0,20.31,0,4,0,19.12,0.5,-1,0,20.94,0,-1,0,21.37,0
5,11,4,0,19.69,0.5,-7,1,20.31,0,4,0,19.12,0.5,-2,0,20.94,0,-2,0,21.37,0
5,51,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.12,0.5,-1,0,21,0,-1,0,21.31,0
5,28,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.06,0.5,-2,0,20.94,0,-2,0,21.25,0
5,26,4,0,19.75,0.5,-7,0,20.25,0,4,0,19.12,0.5,-1,0,20.94,0,-1,0,21.31,0
5,4,4,0,19.75,0.5,-7,0,20.25,0,4,0,19.12,0.5,-1,0,20.94,0,-1,0,21.31,0
5,49,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.12,0.5,0,0,21,0,0,0,21.25,0
5,42,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.12,0.5,-1,0,21,0,-1,0,21.25,0
5,88,4,0,19.62,0.5,-7,0,20.25,0,4,1,19.12,0.5,0,0,20.87,0,0,1,21.25,0
5,30,4,0,19.62,0.5,-7,0,20.25,0,4,0,19.12,0.5,-1,0,20.87,0,-1,0,21.25,0
5,35,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.12,0.5,0,0,20.87,0,0,1,21.25,0
5,5,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.12,0.5,0,0,20.87,0,0,1,21.25,0
5,67,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.19,0.5,1,1,21,0.5,1,0,21.19,0.5
5,23,4,0,19.69,0.5,-7,0,20.19,0,4,0,19.19,0.5,2,0,20.94,0.5,2,0,21.19,0.5
5,2,4,0,19.69,0.5,-7,0,20.19,0,4,1,19.19,0.5,2,0,20.94,0.5,2,0,21.12,0.5
5,17,4,0,19.69,0.5,-7,0,20.19,0,4,0,19.19,0.5,3,0,20.87,0.5,3,0,21.12,0.5
5,43,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.12,0.5,4,0,20.87,0.5,4,0,21.19,0.5
5,58,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.12,0.5,5,1,20.87,0.5,5,0,21.19,0.5
5,14,4,0,19.69,0.5,-7,0,20.25,0,4,0,19.12,0.5,4,0,20.87,0.5,4,0,21.06,0.5
5,504,4,0,19.62,0.5,-7,0,20.19,0,4,0,19,0.5,5,0,20.69,0.5,5,0,21.31,0.5
5,40,4,0,19.62,0.5,-7,0,20.19,0,4,0,19,0.5,4,0,20.75,0.5,4,0,21.31,0.5
6,2299,4,0,19.69,0.5,-7,0,20.19,0,4,0,19.12,0.5,4,0,20.81,0.5,4,0,21.25,0.5
6,42,4,0,19.69,0.5,-7,0,20.19,0,4,1,19.12,0.5,4,1,20.75,0.5,4,0,21.19,0.5
6,2,4,0,19.69,0.5,-7,0,20.19,0,4,0,19.12,0.5,4,0,20.75,0.5,4,0,21.19,0.5
5,386,4,0,19.69,0.5,-7,0,20.19,0,4,0,19.12,0.5,5,0,20.75,0.5,5,0,21.19,0.5
4,2095,5,0,19.69,0.5,-7,0,20.19,0,4,0,19.12,0.5,4,0,20.75,0.5,4,0,21.19,0.5
6,142,5,1,19.12,0.5,-7,0,20.06,0,4,0,19,0.5,4,0,20.62,0.5,4,0,21.19,0.5
6,2,5,0,19.12,0.5,-7,0,20.06,0,4,1,19,0.5,4,0,20.62,0.5,4,0,21.25,0.5
5,150,5,0,18.94,0.5,-7,0,20.06,0,4,0,19,0.5,5,0,20.56,0.5,5,0,21.25,0.5
4,155,6,0,18.94,0.5,-7,0,20.06,0,4,0,19,0.5,4,0,20.56,0.5,4,0,21.19,0.5
4,31,5,0,18.81,0.5,-7,0,20,0,4,1,18.94,0.5,5,0,20.5,0.5,5,1,21.19,0.5
5,40,5,0,18.81,0.5,-7,0,20,0,4,0,19,0.5,4,0,20.31,0.5,4,0,21.19,0.5
5,19,5,0,18.69,0.5,-7,0,19.94,0,4,0,19,0.5,5,0,20.31,0.5,5,0,21.06,0.5
4,23,6,1,18.69,0.5,-7,0,19.94,0,4,0,19,0.5,4,0,20.31,0.5,4,0,21.06,0.5
4,2,6,1,18.75,0.5,-7,0,19.94,0,4,0,19,0.5,4,0,20.31,0.5,4,0,21.06,0.5
4,0,6,0,18.75,0.5,-7,0,19.94,0,4,0,19,0.5,4,0,20.31,0.5,4,1,21.06,0.5
4,44,5,0,18.75,0.5,-7,0,19.81,0,4,0,18.81,0.5,5,0,20.25,0.5,5,0,20.94,0.5
5,50,5,0,18.75,0.5,-7,0,19.81,0,4,0,18.81,0.5,4,0,20.25,0.5,4,0,20.94,0.5
6,138,5,0,18.75,0.5,-7,0,19.81,0,4,0,18.81,0.5,4,1,20.25,0.5,4,0,20.87,0.5
4,11,4,0,18.75,0.5,-7,0,19.81,0,4,1,18.81,0.5,5,0,20.25,0.5,5,0,20.87,0.5
5,10,4,0,18.75,0.5,-7,0,19.81,0,4,0,18.75,0.5,4,0,20.25,0.5,4,0,20.87,0.5
6,8,4,0,18.75,0.5,-7,0,19.81,0,4,1,18.75,0.5,4,0,20.06,0.5,4,0,20.87,0.5
4,90,3,0,18.69,0.5,-7,0,19.69,0,4,0,18.56,0.5,5,0,20.06,0.5,5,0,20.81,0.5
5,91,3,0,18.75,0.5,-7,0,19.69,0,4,0,18.56,0.5,4,0,20.06,0.5,4,0,20.81,0.5
6,92,3,0,18.75,0.5,-7,0,19.69,0,4,0,18.56,0.5,4,0,20.06,0.5,4,0,20.81,0.5
6,266,3,0,18.5,0.5,-7,0,19.69,0,4,0,18.62,0.5,4,1,19.94,0.5,4,0,20.69,0.5
5,360,3,0,18.37,0.5,-7,0,19.62,0,4,0,18.62,0.5,5,0,20,0.5,5,0,20.62,0.5
4,370,2,0,18.37,0.5,-7,0,19.62,0,4,0,18.62,0.5,6,0,20,0.5,6,1,20.62,0.5
4,1,2,0,18.37,0.5,-7,0,19.62,0,4,0,18.62,0.5,6,0,20,0.5,6,0,20.62,0.5
4,59,1,0,18.12,0.5,-7,0,19.5,0,4,1,18.5,0.5,7,0,19.69,0.5,7,0,20.62,0.5
4,2,1,0,18.12,0.5,-7,0,19.5,0,4,1,18.5,0.5,7,0,19.69,0.5,7,0,20.62,0.5
4,0,1,0,18.12,0.5,-7,0,19.5,0,4,0,18.5,0.5,7,0,19.69,0.5,7,0,20.62,0.5
5,71,1,1,18.12,0.5,-7,0,19.5,0,4,0,18.5,0.5,6,0,19.69,0.5,6,1,20.62,0.5
5,252,1,0,18.19,0.5,-7,0,19.5,0,4,0,18.37,0.5,7,0,19.75,0.5,7,0,20.37,0.5
4,255,2,0,18.19,0.5,-7,0,19.5,0,4,0,18.37,0.5,6,0,19.75,0.5,6,0,20.37,0.5
4,2,2,1,18.19,0.5,-7,0,19.5,0,4,0,18.37,0.5,6,0,19.75,0.5,6,0,20.37,0.5
6,422,2,0,18.25,0.5,-7,0,19.5,0,4,0,18.37,0.5,6,0,19.75,0.5,6,0,20.37,0.5
6,1,2,0,18.25,0.5,-7,0,19.5,0,4,0,18.37,0.5,6,0,19.75,0.5,6,0,20.37,0.5
